id,name,cas_no,synonyms_iupac
AML401,Deschloro Amlodipine,88150-52-1,"2-[(2-Aminoethoxy)methyl]-1,4-dihydro-6-methyl-4-phenyl-3,5-pyridinedicarboxylic Acid 3-Ethyl 5- MethylEster"
AML402,HydroxyethylPhthalylAmlodipine,NA,"3-ethyl 5-methyl 4-(2-chlorophenyl)-2-((2-(2-((2-hydroxyethyl)carbamoyl)benzamido)ethoxy)methyl)-6- methyl-1,4-dihydropyridine-3,5-dicarboxylate Page3 Amoxicillin"
AMX100,Amoxicillin Trihydrate,61336-70-7,"(2S,5R,6R)-6-[[(2R)-2-Amino-2-(4-hydroxyphenyl)acetyl]amino]-3,3-dimethyl -7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acidtrihydrate"
AMX201,AmoxicillinEPImpurityA,551-16-6,"AmoxicillinRelatedCompoundA;6-APA;(+)-6-Aminopenicillanicacid; (2S,5R,6R)-6-Amino-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylicacid"
AMX100,Amoxicillin Trihydrate,61336-70-7,"(2S,5R,6R)-6-[[(2R)-2-Amino-2-(4-hydroxyphenyl)acetyl]amino]-3,3-dimethyl -7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acidtrihydrate"
AMX201,AmoxicillinEPImpurityA,551-16-6,"AmoxicillinRelatedCompoundA;6-APA;(+)-6-Aminopenicillanicacid; (2S,5R,6R)-6-Amino-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylicacid Apixaban Apixaban APX100 1-(4-methoxyphenyl)-7-oxo-6-[4-(2-oxopiperidin-1-yl)phenyl]-4,5,6,7-tetrahydro-1H-pyrazolo[3,4-c]pyridine- 503612-47-3 3-carboxamide"
APX401,Apixabanethylesterimpuity/ApixabanImpurity1,503614-91-3,"Ethyl1-(4-Methoxyphenyl)-7-oxo-6-(4-(2-oxopiperidin-1-yl)phenyl)-4,5,6,7-tetrahydro-1H-pyrazolo[3,4- c]pyridine-3-carboxylate"
APX402,Apixabanacidimpuity/ApixabanImpurity2,503614-92-4,"4,5,6,7-Tetrahydro-1-(4-methoxyphenyl)-7-oxo-6-[4-(2-oxo-1-piperidinyl)phenyl]-1H-pyrazolo[3,4-c]pyridine- 3-carboxylicacid"
APX403,Apixabanmethylesterimpuity/ApixabanImpurity3,1074365-84-6,"4,5,6,7-Tetrahydro-1-(4-hydroxyphenyl)-7-oxo-6-[4-(2-oxo-1-piperidinyl)phenyl]-1H-pyrazolo[3,4-c]pyridine- 3-carboxamide"
APX404,O-DesmethylApixaban/ApixabanImpurity4,503612-76-8,"4,5,6,7-Tetrahydro-1-(4-hydroxyphenyl)-7-oxo-6-[4-(2-oxo-1-piperidinyl)phenyl]-1H-pyrazolo[3,4-c]pyridine- 3-carboxamide"
APX405,Apixabanchloroimpurity/ApixabanImpurity5,2029205-64-7,"1-(4-chlorophenyl)-7-oxo-6-[4-(2-oxopiperidin-1-yl)phenyl]-4,5,6,7-tetrahydro-1H-pyrazolo[3,4-c]pyridine-3- carboxylic Acid Amide"
APX406,ApixabanAminoAcidImpurity/ApixabanImpurity6,2187409-01-2,"6-(4-((5-amino-5-oxopentyl)amino)phenyl)-1-(4-methoxyphenyl)-7-oxo-4,5,6,7-tetrahydro-1H-pyrazolo[3,4- c]pyridine-3-carboxamide Page4"
APX407,Apixabanmorpholinelactumimpurity/ApixabanImpurity7,545445-44-1,"3-Morpholino-1-(4-(2-oxopiperidin-1-yl)phenyl)-5,6-dihydropyridin-2(1H)-one"
APX408,ApixabanImpurity8,405872-78-8,ethyl(Z)-2-chloro-2-(2-(3-methoxyphenyl)hydrazono)acetate
APX409,ApixabanImpurity9,536759-91-8,"ethyl1-(4-methoxyphenyl)-6-(4-nitrophenyl)-7-oxo-4,5,6,7-tetrahydro-1H-pyrazolo[3,4-c]pyridine-3- carboxylate"
APX410,ApixabanImpurity10,503615-07-4,"ethyl6-(4-aminophenyl)-1-(4-methoxyphenyl)-7-oxo-4,5,6,7-tetrahydro-1H-pyrazolo[3,4-c]pyridine-3- carboxylate"
APX411,ApixabanImpurity11,NA,3-morpholino-1-(4-(2-oxopiperidin-1-yl)phenyl)pyridin-2(1H)-one
APX412,"4,5-DehydroApixaban/ApixabanImpurity12",1074549-89-5,"1-(4-Methoxyphenyl)-7-oxo-6-(4-(2-oxopiperidin-1-yl)phenyl)-6,7-dihydro-1H-pyrazolo[3,4-c]pyridine-3- carboxamide ApixabanImpurity13"
APX413,"6-(4-aminophenyl)-1-(4-methoxyphenyl)-7-oxo-4,5,6,7-tetrahydro-1H-pyrazolo[3,4-c]pyridine-3-",1423803-24-0,"carboxamide;6-(4-aminophenyl)-1-(4-methoxyphenyl)-7-oxo-4,5,6,7-tetrahydro-1H-pyrazolo[3,4-c]pyridine-3- carboxamide ApixabanImpurity14"
APX414,"7-oxo-6-(4-(2-oxopiperidin-1-yl)phenyl)-1-phenyl-4,5,6,7-tetrahydro-1H-pyrazolo[3,4-c]pyridine-3-",1801881-17-3,"carboxamide;7-oxo-6-(4-(2-oxopiperidin-1-yl)phenyl)-1-phenyl-4,5,6,7-tetrahydro-1H-pyrazolo[3,4-c]pyridine- 3-carboxamide ApixabanImpurity15"
APX415,"1-(4-ethoxyphenyl)-7-oxo-6-(4-(2-oxopiperidin-1-yl)phenyl)-4,5,6,7-tetrahydro-1H-pyrazolo[3,4-c]pyridine-3-",1928718-22-2,"carboxamide;1-(4-ethoxyphenyl)-7-oxo-6-(4-(2-oxopiperidin-1-yl)phenyl)-4,5,6,7-tetrahydro-1H-pyrazolo[3,4- c]pyridine-3-carboxamide"
APX416,ApixabanIVChloro Impurity,2029205-62-5,"Ethyl1-(4-chlorophenyl)-7-oxo-6-(4-(2-oxopiperidin-1-yl)phenyl)-4,5,6,7-tetrahydro-1H-pyrazolo[3,4- c]pyridine-3-carboxylate"
APX417,ApixabanImpurity3(BMS-778960),2098457-92-0,"1-(4-Methoxyphenyl)-6-(4-(2-methyl-6-oxopiperidin-1-yl)phenyl)-7-oxo-4,5,6,7-tetrahydro-1H-pyrazolo[3,4- c]pyridine-3-carboxamide( Apixaban Impurity A)"
APX418,ApixabanOpenChainAcid,2206825-87-6,"5-[[4-[3-(Aminocarbonyl)-1,4,5,7-tetrahydro-1-(4-methoxyphenyl)-7-oxo-6H-pyrazolo[3,4-c]pyridin-6- yl]phenyl]amino]pentanoicAcid"
APR100,Apremilast,608141-41-9,"(S)-N-(2-(1-(3-ethoxy-4-methoxyphenyl) -2-(methylsulfonyl)ethyl)-1,3-dioxoisoindolin-4-yl)acetamide Page5 Apremilast"
APR401,ApremilastImpurity1,608141-42-0,
ARG100,(1S)-1-(3-Ethoxy-4-methoxy-phenyl)-2-methanesulfonyl-ethylamine,74-79-3,L-(+)-Arginine
ARG401,ARG100 74-79-3 L-(+)-Arginine,2645-08-1,BENZOYLARGININEETHYL ESTER Aripiprazole
ARP100,Aripiprazole,129722-12-9,"7-(4-(4-(2,3-dichlorophenyl)piperazin-1-yl)butoxy)-3,4-dihydroquinolin-2(1H)-one"
ARP201,AripiprazoleEPImpurityA,22246-18-0,"3,4-Dihydro-7-hydroxyquinoline-2(1H)-one"
ARP202,AripiprazoleEPImpurityB,119532-26-2,"1-(2,3-dichlorophenyl)piperazine;4-(2,3-Dichlorophenyl)-1-piperazinebutanolHydrochloride"
ARP205,AripiprazoleEPImpurityE,129722-25-4,"Aripiprazole related compound G ; Dehydro Aripiprazole Impurity, 7-(4-(4-(2,3-dichlorophenyl)piperazin-1- yl)butoxy)quinolin-2(1H)-one,"
ARP206,AripiprazoleEPImpurityF,573691-09-5,AripiprazoleRelatedCompoundF
ARP302,AripiprazoleRelatedCompoundB,889443-20-3,"3,4-Dihydro-7-(4-hydroxybutoxy)-2(1H)-quinolinone"
ARP401,AripiprazoleImpurity1,120004-79-7,"7-(4-Chlorobutoxy)-3,4-dihydro-2(1H)-quinolinone;7-(4-Chlorobutoxy)-3,4-dihydro-C2(1H)-quinoline"
ARP402,AripiprazoleImpurity,129722-34-5,"27-(4-Bromobutoxy)-3,4-dihydroquinolin-2-one"
ARP403,AripiprazoleImpurity3,70500-72-0,"7-Hydroxyquinoline-(1H)-2-one,7-Hydroxy-2(1H)-quinolinone"
ARP404,AripiprazoleImpurity4,63386-61-8,"Piperazine,1-(2,6-dichlorophenyl)-;1-(2,6-Dichlorophenyl)piperazine"
ARP405,AripiprazoleImpurity5,NA,"N1-(2-chloroethyl)-N2-(2,3-dichlorophenyl)ethane-1,2-diaminehydrochloride"
ARP406,AripiprazoleImpurity6,952308-47-3,"7-(4-iodobutoxy)-3,4-dihydroquinolin-2(1H)-one Aspartame Page6"
ASP100,Aspartame,22839-47-0,(S)-3-Amino-4-(((S)-1-methoxy-1-oxo-3-phenylpropan-2-yl)amino)-4-oxobutanoicacid
ASP202,AspartameEPImpurityB,13433-09-5,(S)-3-Amino-4-(((S)-1-carboxy-2-phenylethyl)amino)-4-oxobutanoicacid
ASP203,AspartameEPImpurityC,150-30-1,Phenylalanine
ASP401,AspartameImpurity1,123-30-8,ParacetamolEPImpurityK/MesalazineEPImpurityA Atenolol
ATN100,Atenolol,29122-68-7,2-[4-[(2RS)-2-hydroxy-3-[(1- methylethyl)amino]propoxy]phenyl]acetamide
ATN201,AtenololEPImpurityA,17194-82-0,"2-(4-Hydroxyphenyl)acetamide,AtenololRelatedCompoundA"
ATN202,AtenololEPImpurityB,61698-76-8,"AtenololRelatedCompoundB,2-[4-[(2RS)-2,3-dihydroxypropoxy]phenyl]acetamide"
ATN203,AtenololEPImpurityC,29122-69-8,2-[4-[[(2RS)-oxiran-2-yl]methoxy]phenyl]acetamide
ATN204,AtenololEPImpurityD,115538-83-5,2-[4-[(2RS)-3-chloro-2-hydroxypropoxy]phenyl]acetamide
ATN205,AtenololEPImpurityE,141650-31-9,"AtenololRelatedCompoundE,2,2'-[2-Hydroxypropan-1,3-diylbis(oxy-4,1-phenylene)]diacetamide"
ATN206,AtenololEPImpurityF,87619-83-8,"Atenolol Related Compound F, 2,2'-[(1-Methylethyl)iminobis(2-hydroxypropan-3,1-diyloxy-4,1-"
ATN207,phenylene)]diacetamide,56392-14-4,AtenololEPImpurityG
ATN209,AtenololEPImpurityI,1797116-92-7,2-(4-(3-(Ethylamino)-2-hydroxypropoxy)phenyl)acetamide
ATN210,AtenololEPImpurityJ,81346-71-6,2-(4-(3-amino-2-hydroxypropoxy)phenyl)acetamide
ATM100,AtomoxetineHydrochloride,82248-59-7,AtomoxetineHydrochloride (R)-N-Methyl-(2-methylphenoxy)benzenepropanamineHydrochloride
ATM201,AtomoxetineEPImpurityA,873310-33-9,N-methyl-3-phenoxy-3-phenylpropan-1-aminehydrochloride Page7 1643684-06-3/ AtomoxetineEPImpurityC ATM203 1010818-96-8 AtomoxetineUSP RCC ;p-MethylAtomoxetineHCl 1643684-05-2/ AtomoxetineEPImpurityD ATM204 1643684-02-9 AtomoxetineUSP RCB;m-MethylAtomoxetineHCl
ATM205,AtomoxetineEPImpurityE,17199-29-0,
ATM208,L-MandelicAcid;(S)-(+)-MandelicAcid;(2S)-2-Hydroxy-2-phenylaceticacid,42142-52-9,AtomoxetineEPImpurityH Atomoxetine USPRC A;3-(Methylamino)-1-phenylpropan-1-ol AtomoxetineImpurity1 ATM401 (R)-1-Methyl-1-(3-phenyl-3-(o-tolyloxy)propyl)urea Atorvastatincalciumsalt Atorvastatincalciumsalt
ATR100,"Calcium(3R,5R)-7-[2-(4-fluorophenyl)-5",134523-03-8,"-(1-methylethyl)-3-phenyl-4-(phenylcarbamoyl)-1H-pyrrol-1-yl] -3,5-dihydroxyheptanoate"
ATR206,AtorvastatinEPImpurityF,887196-24-9,"(3R,5R)-7-[[(3R,5R)-7-[2-(4-fluorophenyl)-5-(1-methylethyl) -3-phenyl-4-(phenylcarbamoyl)-1H-pyrrol-1-yl]-3,5-dihydroxyheptanoyl]amino]-3,5-dihydroxyheptanoicacid AtorvastatinEPImpurityN/AtorvastatinAcidt-Butyl Ester"
ATR214,"(3R,5R)-7-[3-(Phenylcarbamoyl)-5-(4-fluorophenyl)",134395-00-9,"-2-isopropyl-4-phenyl-1H-pyrrol-1-yl]-3,5-dihydroxyheptanoic acidt-butylester AtorvastatinImpurity2/AtorvastatinAcidMethylEster"
ATR401,"(3R,5R)-7-[3-(Phenylcarbamoyl)-5-(4-fluorophenyl)",345891-62-5,"-2-isopropyl-4-phenyl-1H-pyrrol-1-yl]-3,5 -dihydroxyheptanoicacidmethylester AtropineSulfate"
ATP100,AtropineSulfate,5908-99-6,AtropineSulfateMonohydrate
ATP201,AtropineEPImpurityA,500-55-0,"Apoatropine, 8-methyl-8-azabicyclo[3.2.1]octan-3-yl2-phenylacrylate"
ATP202,AtropineEPImpurityB,16839-98-8,"(1R,3r,5S)-8-azabicyclo[3.2.1]octan-3-yl3-hydroxy-2-phenylpropanoate"
ATP203,AtropineEPImpurityC,552-63-6,"Tropicacid,2-Phenylhydracrylicacid,3-Hydroxy-2-phenylpropionicacid Page8"
ATP401,AtropineImpurity1,14510-36-2,"3-acetoxy-2-phenylpropanoicacid AtropineImpurity2 ATP402 (1R,3r,5S)-8-methyl-8-azabicyclo[3.2.1]octan-3-yl3-acetoxy-2-phenylpropanoate"
ATP403,AtropineImpurity3,120-29-6,"Tropine,(1R,3r,5S)-8-Methyl-8-azabicyclo[3.2.1]octan-3-ol Azilsartan 863031-24-7 Azilsartanmedoxomilpotassium AZL100 863031-21-4 Azilsartanmedoxomilpotassium"
AZL101,Azilsartan,147403-03-0,"1-[[2’-(2,5-Dihydro-5-oxo-1,2,4-oxadiazol-3-yl) [1,1’-biphenyl]-4-yl]methyl]-2-ethoxy-1H-benzimidazole-7-carboxylicAcid"
AZL401,AzilsartanImpurityA/AzilsartanImpurity1,147404-76-0,"methyl1-((2'-carbamoyl-[1,1'-biphenyl]-4-yl)methyl) -2-ethoxy-1H-benzo[d]imidazole-7-carboxylate"
AZL402,AzilsartanImpurityB/AzilsartanImpurity2,1696392-11-6,"1-((2'-carbamoyl-[1,1'-biphenyl]-4-yl)methyl) -2-ethoxy-1H-benzo[d]imidazole-7-carboxylicacid"
AZL403,AzilsartanImpurityC/AzilsartanImpurity3,397836-49-5,"2-ethoxy-1-((2'-(N'-hydroxycarbamimidoyl) -[1,1'-biphenyl]-4-yl)methyl)-1H-benzo[d]imidazole-7-carboxylic acid"
AZL404,AzilsartanImpurityD/AzilsartanImpurity4,1821386-21-3,"3-((2'-(N'-hydroxycarbamimidoyl)-[1,1'-biphenyl]-4-yl) methyl)-2-oxo-2,3-dihydro-1H-benzo[d]imidazole-4-carboxylicacid"
