id,name,cas_no,synonyms_iupac
BRX415,BrexpiprazoleImpurity26,913613-82-8,7-(4-chlorobutoxy)-1H-quinolin-2-one
BRX416,BrexpiprazoleImpurity28,203395-59-9,7-(4-Bromobutoxy)-quinoline-2(1H)-one
BRX417,BrexpiprazoleImpurity30,2094559-58-5,"7-(4-(4-(benzo[b]thiophen-4-yl)piperazin-1-yl)butoxy)-1- (4-((2-oxo-1,2-dihydroquinolin-7-yl)oxy)butyl)quinolin-2(1H)-one"
BRX418,BrexpiprazoleS-Oxide,1191900-51-2,7-[4-[4-(1-Oxidobenzo[b]thien-4-yl)-1-piperazinyl]butoxy]-2(1H)-quinolinone
BRX501,4-Chlorobenzo[b]thiophene,66490-33-3,4-Chlorobenzo[b]thiophene Brimonidine
BRM100,Brimonidine,59803-98-4,"5-Bromo-N-(4,5-dihydro-1H-imidazol-2-yl)-6-quinoxalinamine"
BRM201,BrimonidineEPImpurityA,91147-43-2,DesbromoBrimonidine; N-(Imidazolidin-2-ylidene)quinoxalin-6-amine
BRM203,BrimonidineEPImpurityC,6298-37-9,Quinoxalin-6-amine
BRP100,BrompheniramineMaleate,980-71-2,"(3RS)-3-(4-Bromophenyl)-N,N-dimethyl-3-(pyridin-2-yl)propan-1-amine(Z)-butenedioate Page12"
BRP201,BrompheniramineMaleateEPImpurityA,132-22-9,Chlorphenamine
BRP203,BrompheniramineMaleateEPImpurityC,86-21-5,pheniramine
BRP401,Brompheniramineimpurity1,65676-22-4,2-(4-bromophenyl)-4-(dimethylamino)-2-(pyridin-2-yl)butanenitrile
BRP402,Brompheniramineimpurity2,85750-24-9,(4-bromophenyl)(Pyridin-2-yl)acetonitrile DesmethylbrompheniramineHCl BRP403 (3RS)-3-(4-Bromo-phenyl)-N-methyl-3-(pyridin-2-yl)propan-1-amineHClsalt Bumetanide
BMT100,Bumetanide,28395-03-1,3-(butylamino)-4-phenoxy-5-sulfamoylbenzoicacid
BMT201,BumetanideEPImpurityA,28328-53-2,BumetanideRelatedCompoundB; 3-nitro-4-phenoxy-5-sulfamoylbenzoic acid
BMT202,BumetanideEPImpurityB,28328-54-3,BumetanideRelatedCompoundA; 3-amino-4-phenoxy-5-sulfamoylbenzoicacid;DesbutylBumetanide
BMT203,BumetanideEPImpurityC,32643-00-8,butyl3-(butylamino)-4-phenoxy-5-sulfamoylbenzoate
BMT204,BumetanideEPImpurityD,153012-65-8,3-((2-ethylhexyl)amino)-4-phenoxy-5-sulfamoylbenzoicacid
BMT401,BumetanideImpurity-5,57939-04-5,Methyl3-nitro-4-phenoxy-5-sulfamoylbenzoate
BPV100,BupivacaineHCl,18010-40-7,"(2RS)-1-Butyl-N-(2,6-dimethylphenyl)piperidine-2- carboxamidehydrochloride"
BPV201,BupivacaineEPImpurityA,39627-98-0,"N-(2,6-Dimethylphenyl)pyridine-2-carboxamide"
BPV202,BupivacaineEPImpurityB,15883-20-2,"(2RS)-N-(2,6-Dimethylphenyl)piperidine-2-carboxamide"
BPV203,BupivacaineEPImpurityC,1797894-80-4,"1-(2,6-Dimethylphenyl)-1,5,6,7-tetrahydro-2H-azepin-2-one"
BPV204,BupivacaineEPImpurityD,1037184-07-8,"(2RS)-2,6-Dichloro-N-(2,6-dimethylphenyl)hexanamide Page13"
BPV205,BupivacaineEPImpurityE,1330172-81-0,"6-(Butylamino)-N-(2,6-dimethylphenyl)hexanamide 87-62-7/ BupivacaineEPImpurityF BPV206 21436-98-6 2,6-Dimethylaniline/ROPIVACAINERELATEDCOMPOUNDA"
BPV501,Picolonicacid,98-98-6,Pyridine-2-carboxylicAcid Bupropion
BPR100,BupropionHydrochloride,31677-93-7,2-(t-Butylamino)-3'-chloropropiophenonehydrochloride
BPR301,BupropionRelatedCompoundA,1049718-72-0,/252193-58-1 2-(Tert-Butylamino)-4’-chloropropiophenoneHydrochloride
BPR302,BupropionRelatedCompoundB,1049718-43-5,2-(Tert-Butylamino)-3′-bromopropiophenonehydrochloride
BPR303,BupropionUSPRelatedCompoundC,152943-33-4,1-(3-chlorophenyl)-2-hydroxypropan-1-one
BPR304,BupropionRelatedCompoundD,63199-74-6,"2-(Tert-Butylamino)propiophenoneHydrochloride,DeschloroBupropionHydrochloride"
BPR305,BupropionRelatedCompoundE,10557-17-2,Bupropiondionederivative
BPR306,BupropionRelatedCompoundF,857233-13-7,1-(3-Chlorophenyl)-1-hydroxypropan-2-one
BPR401,Bupropion2-BromoImpurity,34911-51-8,"BupropionRelatedCompoundG,2-Bromo-1-(3-chlorophenyl)-1-propanone"
BPR402,BupropionDes-t-ButylaminoImpurity,34841-35-5,"3'-Chloropropiophenone,1-(3-Chlorophenyl)-1-propanone"
BPR403,BupropionImpurity1,92821-92-6,"3,5Dichloropropiophenone"
BPR404,BupropionNitrosoImpurity,NA,N-(Tert-butyl)-N-(1-(3-chlorophenyl)-1-oxopropan-2-yl)nitrousamide Buspirone
BSR100,BuspironeHydrochloride,33386-08-2,"8-[4-[4-(Pyrimidin-2-yl)piperazin-1-yl]butyl] -8-azaspiro[4.5]-decane-7,9-dionehydrochloride"
BSR201,BuspironeEPImpurityA,20980-22-7,BuspironeUSP RCA;2-(Piperazin-1-yl)pyrimidine
BSR202,BuspironeEPImpurityB,81461-73-6,BuspironeSpiroammoniumSaltImpurity(USP) Page14
BSR207,BuspironeEPImpurityG,84746-24-7,"Buspirone USPRelatedCompound G,2,2′-(Piperazine-1,4-diyl)dipyrimidine"
BSR211,BuspironeEPImpurityK,1075-89-4,"BuspironeUSPRelatedCompound K; 8-Azaspiro[4.5]decane-7,9-dione"
BSR212,BuspironeEPImpurityL,21098-11-3,"Buspirone USPRelated Compound L,8-(4-Chlorobutyl)-8-azaspiro[4.5]decane-7,9-dione"
BSR213,BuspironeEPImpurityM,80827-62-9,"BuspironeBromobutylImpurity,8-(4-Bromobutyl)-8-azaspiro[4.5]decane-7,9-dione"
BSR214,BuspironeEPImpurityN,257877-44-4,"BuspironeUSPRelatedCompoundN,8,8′-(Butane-1,4-diyl)bis(8-azaspiro[4.5]decane-7,9-dione) Busulfan"
BSL100,Busulfan,55-98-1,"1,4-Butanediol-dimethanesulfonate Esters;Busulphan Candesartan"
CND100,CandesartanCilexetil,145040-37-5,"1-[[(Cyclohexyloxy)carbonyl]oxy]ethyl2-ethoxy-1-[[2'-(1H-tetrazol-5-yl)[1,1'-biphenyl]-4-yl]methyl]-1H- benzimidazole-7-carboxylate"
CND201,CandesartanEPImpurityA,139481-58-6,"CandesartanEthylEster; 2-Ethoxy-1-[[2-[1-(triphenylmethyl) -1H-tetrazol-5-yl][1,1?-biphenyl]-4-yl]methyl]-1H-benzimidazole-7-carboxylicAcidethylester"
CND401,CandesartanBromoN1-TritylImpurity,124750-51-2,"5-(4'-Bromomethyl-1,1'-biphenyl-2-yl)-1-triphenylmethyl-1H-tetrazole Carbamazepine"
CRB100,Carbamazepine,298-46-4,"5H-Dibenzo[b,f]azepine-5-carboxamide"
CRB201,CarbamazepineEPImpurityA,3564-73-6,CarbamazepineUSPRelatedCompoundA
CRB202,CarbamazepineEPImpurityB,611-64-3,9-Methylacridine
CRB204,CarbamazepineEPImpurityD,256-96-2,"CarbamazepineRelatedCompoundB,5H-Dibenzo[b,f]azepine"
CRB205,CarbamazepineEPImpurityE,494-19-9,"10,11-dihydro-5H-dibenzo[b,f]azepine(iminodibenzyl),"
CRB206,CarbamazepineEPImpurityF,33948-22-0,"H-dibenzo[b,f]azepine-5-carbonylchloride Page15"
CRV100,Carvone,99-49-0,Carvone Cefadroxil
CFD100,CefadroxilMonohydrate,66592-87-8,"(6R,7R)-7-[[(2R)-Amino-(4-hydroxyphenyl)acetyl]amino]-3-methyl- 8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylicAcidMonohydrate"
CFD401,CefadroxilEPImpurityB/,22252-43-3,"7-AMINODESACETOXYCEPHALOSPORANIC ACID6R,7R)-7-Amino-3-methyl-8-oxo-5-thia-1- azabicyclo[4.2.0]oct-2-ene-2-carboxylicAcid Celecoxib"
CLX100,Celecoxib,169590-42-5,4-[5-(4-Methylphenyl)-3-trifluoromethyl-1H-pyrazol-1- yl]benzenesulfonamide
CLX201,CelecoxibEPImpurityA,170570-01-1,USP Related Compound A ; Celecoxib 3-Methyl Analog;4-[5-(3-Methylphenyl)-3-trifluoromethyl-1H-pyrazol-1- yl]benzenesulfonamide
CLX202,CelecoxibEPImpurityB,331943-04-5,USPRelatedcompoundB;4-[3-(4-Methylphenyl)-5-trifluoromethyl-1H-pyrazol-1-yl]benzenesulfonamide
CLX401,Celecoxib2-MethylAnalog,170569-99-0,4-[5-(2-Methylphenyl)-3-trifluoromethyl-1H-pyrazol-1-yl]benzenesulfonamide
CLX402,CelecoxibHydrazineImpurity,17852-52-7,4-Sulphonamidophenylhydrazinehydrochloride
CLX403,CelecoxibrelatedcompoundD,1061214-06-9,(E)-4-(2-(1-p-tolylethylidene)hydrazinyl)benzenesulfonamide CelecoxibImpurity2 948293-46-7/ CLX404 CelecoxibImpurity6 219986-64-8 3-(p-tolyl)-5-(trifluoromethyl)-1H-pyrazole
CLX405,CelecoxibRelatedCompound4,720-94-5,"4,4,4-trifluoro-1-p-tolylbutane-1,3-dione"
CLX406,CelecoxibImpurity7,163266-02-2,"4,4,4-trifluoro-1-(o-tolyl)butane-1,3-dione"
CLX407,CelecoxibRelatedCompoundC,170570-09-9,"2,4-DimethylCelecoxibImpurity4-[5-(2,4-Dimethylphenyl)-3-(trifluoromethyl) -1H-pyrazol-1-yl]benzenesulfonamide"
CLX408,3-Methylacetophenone,585-74-0,
CLX409,3-Methylacetophenone,122-00-9,4-Methylacetophenone Page16
CLX410,CelecoxibImpurity3,170569-87-6,4-(5-phenyl-3-(trifluoromethyl)-1H-pyrazol-1-yl)benzenesulfonamide Cetirizine
CTR100,CetirizineDihydrochloride,83881-52-1,(RS)-2-[2-[4-[(4-Chlorophenyl)phenylmethyl]piperazin-1- yl]ethoxy]acetic acid dihydrochloride
CTR201,CetirizineEPImpurityA,303-26-4,CetirizineCBHPImpurity(USP) (RS)-1-[(4-Chlorophenyl)phenylmethyl]piperazine
CTR202,CetirizineEPImpurityB,113740-61-7,(RS)-2-[4-[(4-Chlorophenyl)phenylmethyl]piperazin-1- yl]acetic acid dihydrochloride
CTR203,CetirizineEPImpurityC,83881-59-8,"Cetirizine2-ChloroAnalog(RS)-2-[2-[4-[(2-Chlorophenyl)phenylmethyl]piperazin-1-yl]ethoxy] aceticacid CetirizineEPImpurityD 346451-15-8(base) CTR204 CetirizineDimerImpurity(USP) 856841-95-7(2HCl) ;1,4-bis[(4-Chlorophenyl)phenylmethyl]piperazinedihydrochloride"
CTR205,CetirizineEPImpurityE,682323-77-9,(RS)-2-[2-[2-[4-[(4-Chlorophenyl)phenylmethyl]piperazin-1-yl]ethoxy]ethoxy]acetic acid
CTR206,CetirizineEPImpurityF,83881-53-2,2-(2-(4-benzhydrylpiperazin-1-yl)ethoxy)aceticacid
CTR207,CetirizineEPImpurityG,164726-80-1,CetirizineEthanolImpurity;2-[4-[(4-Chlorophenyl)phenylmethyl]piperazin-1-yl]ethanolDihydrochloride
CTR301,CetirizneRelatedCompoundA,246870-46-2,(base) Cetirizine Dihydrochloride Ethyl Ester ; (RS)-2-[2-[4-[(4-Chlorophenyl)phenylmethyl]piperazin-1- yl]ethoxy]acetic acid ethyl ester
CTR302,CetirizneRelatedCompoundB,108983-83-1,CetirizineDeschloroEthanolImpurity;2-[4-(Diphenylmethyl)piperazin-1-yl]ethanoldihydrochloride 200707-85-3(HClsalt) CetirizneRelatedCompoundC CTR303 83881-37-2(base) CetirizineAmide Impurity ; (RS)-2-[2-[4-[(4-Chlorophenyl)phenylmethyl]piperazin-1-yl]ethoxy]acetamide
CTR401,CetirizineMethylEster(USP),83881-46-3,(RS)-2-[2-[4-[(4-Chlorophenyl)phenylmethyl]piperazin-1-yl]ethoxy]aceticacidmethylesterdihydrochloride
CTR402,Cetirizine EP ImpurityEthyl Ester,19178-83-7,(RS)-2-[4-[(4- Chlorophenyl)phenylmethyl]piperazin-1- yl]acetic acid ethyl ester
CTR403,Cetirizine4-ChlorobenzhydrolImpurity,119-56-2,MeclizineUSPRCA;4-Chlorobenzhydrol
CTR404,Cetirizine4-ChlorobenzophenoneImpurity(USP),134-85-0,(4-Chlorophenyl)phenylmethanone Page17
CTR405,CetirizineN-Oxide,1076199-80-8,(RS)-2-[2-[4-[(4-Chlorophenyl)phenylmethyl]-1-oxido-piperazin-1- yl]ethoxy] acetic acid Cetirizine3-ChloroImpurity 1232460-29-5| CTR406 3-Chloro Cetirizine Dihydrochloride (USP) ; (RS)-2-[2-[4-[(3-Chlorophenyl)phenylmethyl]piperazin-1- 1232460-31-9 yl]ethoxy] acetic acid
CTR407,ChlorobenzhydrylPiperazine,300543-56-0,(-)-1-[(4-Chlorophenyl)phenylmethyl]piperazine;(R)-1-(p-Chlorobenzhydryl)piperazine
CTR408,CetirizineEthylEster,246870-46-2,Cetirizine Dihydrochloride Ethyl Ester ; (RS)-2-[2-[4-[(4-Chlorophenyl)phenylmethyl]piperazin-1- yl]ethoxy]acetic acid ethyl ester
CTR409,3-Chlorobenzophenone,1016-78-0,3-Chlorobenzophenone
CTR410,1-Benzhydrylpiperazine,841-77-0,1-Benzhydrylpiperazine
CTR411,2-ChloroBHP Cetirizine,109036-15-9,1-[(2-Chlorophenyl)phenylmethyl]piperazine
CTR412,3-ChloroBHP Cetirizine,NA,1-[(3-Chlorophenyl)phenylmethyl]piperazine Chlordiazepoxide
CHD100,Chlordiazepoxide,58-25-3,"7-chloro-2-(methylamino)-5-phenyl-3H-benzo[e][1,4]diazepine4-oxide"
CHD201,ChlordiazepoxideEPImpurityA,963-39-3,"Chlordiazepoxide Related Compound A(7-Chloro-1,3-dihydro-5-phenyl-2H-1,4-benzodiazepin-2-one 4- Oxide)"
CHD203,ChlordiazepoxideEPImpurityC,719-59-5,2-Amino-5-chlorophenyl)phenylmethanone Chloroquine
CHR100,Chloroquine,54-05-7,7-Chloro-4-[[4-(diethylamino)-1-methylbutyl]amino]quinoline
CHR401,Hydroxynovaldiamine,69559-11-1,2-[(4-aminopentyl)(ethyl)amino]ethan-1-ol Chlorphenamine
CHP100,ChlorphenamineMaleate,113-92-8,"3-(4-chlorophenyl)-N,N-dimethyl-3-(pyridin-2-yl)propan-1-aminemaleate Page18"
CHP201,ChlorphenamineEPImpurityA,1246816-57-8,2-(4-chlorophenyl)-4-(dimethylamino)-2-(2-(dimethylamino)ethyl)butanenitrile
CHP202,ChlorphenamineEPImpurityB,1202-34-2,ChlorphenamineRelated CompoundB ;3-(4-chlorophenyl)-N-methyl-3-(pyridin-2-yl)propan-1-amine
CHP203,ChlorphenamineEPImpurityC,20619-12-9,CHLORPHENIRAMINERELATEDCOMPOUNDC/ 3RS)-3-(4-chlorophenyl)-N-methyl-3-(pyridin-2-yl)propan-1-amine
CHP204,ChlorphenamineEPImpurityD,65676-21-3,/2575516-46-8 2-(4-chlorophenyl)-4-(dimethylamino)-2-(pyridin-2-yl)butanenitrile
CHP401,ChlorphenamineN-Oxide,120244-82-8,"3-(4-chlorophenyl)-N,N-dimethyl-3-(pyridin-2-yl)propan-1-amineoxide"
CHP402,ChlorphenamineImpurity1,4584-46-7,"2-chloro-N,N-dimethylethan-1-aminehydrochloride"
CHP403,Didesmethylchlorpheniramine,23052-94-0,3-(4-chlorophenyl)-3-(pyridin-2-yl)propan-1-amine
CHP404,ChlorphenamineImpurity2,4350-41-8,"2-(4-Chlorobenzyl)pyridine,2-(4-chlorobenzyl)pyridine"
CHP405,ChlorphenamineImpurity3,5005-37-8,(4-chlorophenyl)(pyridin-2-yl)acetonitrile Chlorthalidone
CHL100,Chlortalidone,77-36-1,2-Chloro-5-(1-hydroxy-3-oxo-1-isoindolinyl)benzenesulfonamide
CHL201,ChlortalidoneEPimpurityA,345930-32-7,ChlorthalidoneChlorosulfobenzoylBenzoicAcidImpurity
CHL202,ChlortalidoneEPimpurityB,5270-74-6,ChlorthalidoneUSP RCA;ChlorthalidoneAcid; 2-[3-(Aminosulfonyl)-4-chlorobenzoyl]-benzonicacid
CHL203,ChlortalidoneEPimpurityC,92874-73-2,Chlorthalidone AcidEthyl Ester;2-[3-(Aminosulfonyl)-4-chlorobenzoyl] -benzonicacidethylester
CHL204,ChlortalidoneEPimpurityD,1369995-36-7,"ChlorthalidoneEthylEther;O-EthylChlorthalidone; 2-Chloro-5[(1RS)-1-ethoxy-3-oxo-2,3-dihydro-1H-isoindol-1-yl]benzenesulfonamide"
CHL205,ChlortalidoneEPimpurityE,82875-49-8,ChlorthalidoneDeshydroxy Impurity; 2-Chloro-5-(3-oxo-1-isoindolinyl)benzenesulfonamide
CHL207,ChlortalidoneEPimpurityG,16289-13-7,"ChlorthalidoneDichloroImpurity; (3RS)-3-(3,4-Dichlorophenyl)-3hydroxy-2,3-dihydro-1H-isoindol-1-one Page19"
CHL208,ChlortalidoneEPimpurityH,NA,"Chlorthalidone Isopropyl Ether ;2-Chloro-5[(1RS)-1-(1-methylethoxy)-3-oxo-2,3-dihydro-1H-isoindol-1- yl]benzenesulfonamide"
CHL209,ChlortalidoneEPimpurityI,NA,ChlorthalidoneAcidIsopropylEster ;2-[3-(Aminosulfonyl)-4-chlorobenzoyl]-benzonicacidisopropylester
CHL210,ChlortalidoneImpurityJ,956-92-3,3-(4-chlorophenyl)-3-hydroxyisoindolin-1-one
CHL401,ChlortalidoneMethylEther,6512-76-4,"O-Methyl Chlortalidone ; 2-Chloro-5[(1RS)-1-methoxy-3-oxo-2,3-dihydro-1H-isoindol-1- yl]benzenesulfonamide"
CHL402,Chlorthalidoneacidmethylesterimpurity,92433-89-1,Methyl2-(4-chloro-3-sulfamoylbenzoyl)benzoatey
CHL501,Chloro Intermedate,NA,2-chloro-5-(1-oxoisoindolin-3-yl)benzene-1-sulfonylchloride
CHL502,3-(4-Chlorophenyl)-1-isoindolinone,2224-77-3,"3-(p-Chlorophenyl)-phthalimidine; 3-(4-Chlorophenyl)isoindolinone; 3-(4-Chlorophenyl)-2,3-dihydro-1H- isoindol-1-one"
CHL503,"4-(4-Chlorophenyl)-1H-2,3-benzoxazin-1-one",2224-83-1,"4-(4-Chlorophenyl)-1H-2,3-benzoxazin-1-one Chlorzoxazone"
CHZ100,Chlorzoxazone,95-25-0,5-Chloro-2-benzoxazolinone;5-Chloro-2-hydroxybenzoxazole
CHZ301,ChlorzoxazoneRelatedCompoundA,95-85-2,
CHZ401,2-Amino-4-chlorophenol,106-48-9,4-Chlorophenol
CNT100,Cinacalcet,364782-34-3,CinacalcetHCl
CNT401,CinacalcetImpurityA,3886-70-2,/82572-04-1 (R)-(+)-1-(1-Naphthyl)ethylamine
CNT402,CinacalcetImpurity1,779-89-5,3-(3-(Trifluoromethyl)phenyl)acrylicacid
CNT403,CinacalcetImpurity2,1005450-55-4,R-N-(1-(naphthalen-1-yl)ethyl)-3-(3-(trifluoromethyl)phenyl)propanamide Ciprofloxacin
CPR100,Ciprofloxacin,85721-33-1,"1-Cyclopropyl-6-fluoro-1,4-dihydro-4-oxo-7-(1-piperazinyl)-3-quinolinecarboxylicAcid Page20"
CPR101,CiprofloxacinHydrochlorideMonohydrate,86393-32-0,"1-Cyclopropyl-6-fluoro-1,4-dihydro-4-oxo-7-(1-piperazinyl)-3-quinolinecarboxylic Acid Hydrochloride; BayQ3939 Hydrochloride Monohydrate"
CPR201,CiprofloxacinEPImpurityA,86393-33-1,"7-Chloro-1-cyclopropyl-6-fluoro-3-carboxy-1,4-dihydro-4- oxoquinoline;FluoroquinolonicAcid"
CPR203,CiprofloxacinEPImpurityC,103222-12-4,/528851-31-2 CiprofloxacinEthylenediamineUSP Clarithromycin
CLR100,Clarithromycin,81103-11-9,6-O-Methylerythromycin;6-O-MethylerythromycinA Clonazepam
CLZ201,ClonazepamEPImpurityA,2011-66-7,ClonazepamUSP RelatedCompoundB Clonidine
CLN100,Clonidine,4205-90-7,"2,6-Dichloro-N-(imidazolidin-2-ylidene)aniline"
CLN201,ClonidineEPImpurityA,5391-39-9,1-Acetylimidazolidin-2-one
CLN202,ClonidineEPImpurityB,54707-71-0,"ClonidineRelatedCompoundA;1-(2-((2,6-dichlorophenyl)amino)-4,5-dihydro-1H-imidazol-1-yl)ethan-1-one"
CLN203,ClonidineEPImpurityC,608-31-1,"2,6-Dichloroaniline"
CLN401,ClonidineImpurityB(Inhouse),14034-59-4,"ethylenediaminemono-p-toluenesulfonicacidsalt Clopidogrel Clopidogrel 113665-84-2/ S-(+)-Clopidogrel Hydrogen Sulfate CLP100 120202-66-6 Methyl(2S)-(2-chlorophenyl)[6,7-dihydrothieno[3,2-c]pyridin-5(4H)-yl] acetate"
CLP101,135046-48-9 CHLOPIDOGRELHYDROGENSULPHATERACEMATE,90055-48-4,"(Â±)-Methyl2-(2-Chlorophenyl)-2-(6,7-dihydro-4H-thieno [3,2-c]pyridin-5-yl)acetateHydrogenSulfate Closantel Page21"
CLS100,Closantel,57808-65-8,"N-[5-chloor-4-[(4-chloorfenyl)-cyanomethyl]-2-methylfenyl]-2-hydroxy-3,5 -di-joodbenzamide"
CLS201,ClosantelEPImpurityA,133-91-5,"2-Hydroxy-3,5-diiodobenzoicacid"
CLS202,ClosantelEPImpurityB,61437-85-2,(2RS)-(4-Amino-2-chloro-5-methylphenyl)(4-chlorophenyl)ethanenitril
CLS203,ClosantelEPImpurityC,NA,"(2RS)-[2-Chloro-4-[(2-hydroxy-3,5-diiodobenzoyl)amino]-5-methylphenyl](4-chlorophenyl)aceticacid"
CLS204,ClosantelEPImpurityD,NA,"N-[4-[(1RS)-2-amino-1-(4-chlorophenyl)-2-oxoethyl]-5-chloro-2-methylphenyl]-2-hydroxy-3,5- diiodobenzamide Dabigatran"
DBG403,DabigatranImpurity3,211915-84-3,DabigatranEthylEsterCyanoAnalog
DBG409,DabigatranImpurity 10,1304574-20-6,DabigatranEtexilatePropanoate
DBG410,DabigatranImpurity6,NA,hexyl(Z)-(amino(4-(((1-methyl-5-(pyridin-2-ylcarbamoyl)-1H- benzo[d]imidazol-2-yl)methyl)amino)phenyl)methylene)carbamate
DBG411,DesethylDabigatranEtexilateCarboxamide,1580491-16-2,DesethylDabigatranEtexilateCarboxamide
DBG412,DabigatranEtexilateIsopropylEsterAnalog,1610758-19-4,DabigatranEtexilateIsopropylEsterAnalog
DBG413,DabigatranEtexilateDimer,2101852-25-7,DabigatranEtexilateDimer
DBG414,Ethyl3-(2-Pyridylamino)propionate,103041-38-9,Ethyl3-(2-Pyridylamino)propionate
DBG415,4-(Methylamino)-3-nitrobenzoicacid,41263-74-5,4-(Methylamino)-3-nitrobenzoicacid
DBG416,DesiminomethylCarbonylDabigatranEtexilate,1408238-40-3,N-[[2-[[[4-[[[(Hexyloxy)carbonyl]amino]carbonyl]phenyl]amino]methyl]-1-methyl-1H-benzimidazol-5- yl]carbonyl]-N-2-pyridinyl-β-alanineEthylEster Page22
DBG100,DabigatranEtexilate,211915-06-9,N-[[2-[[[4-[[[(Hexyloxy)carbonyl]amino]iminomethyl]phenyl]amino]methyl]-1-methyl-1H-benzimidazol-5- yl]carbonyl]-N-2-pyridinyl-β-AlanineEthylEster
DBG401,DabigatranEtexilateMesylateImpurityA,1408238-37-8,3-(2-(((4-(((Hexyloxy)carbonyl)carbamoyl)phenyl)amino)methyl)-1-methyl-N-(pyridin-2-yl)-1H- benzo[d]imidazole-5-carboxamido)propanoicAcid
DBG402,DabigatranImpurity1,429658-95-7,/211914-50-0 3-({2-[(4-Carbamimidoyl-phenylamino)-methyl]-1-methyl-1H-benzoimidazole-5-carbonyl}-pyridin-2-yl- amino)-propionic acid ethyl ester
DBG404,DabigatranMethylaminoImpurity,212322-56-0,DabigatranMethylaminoImpurity
DBG405,DabigatranImpurity4,212321-78-3,O-DesethylDabigatranEtexilate
DBG406,DabigatranImpurity2,42288-26-6,N-(4-Cyanophenyl)glycine;2-(4-Cyanophenylamino)aceticacid
DBG407,DabigatranImpurity8,1637238-96-0,Hexyl(imino(4-(((1-methyl-5-((3-oxo-3-(pyridin-2-ylamino)propyl) (pyridin-2-yl)carbamoyl)-1H-benzo[d]imidazol-2-thyl)amino)phenyl)methyl)carbamate
DBG408,DabigatranImpurity9,211915-00-3,DabigatranEtexilateMethylEsterAnalog
DCT100,Decitabine,2353-33-5,"4-amino-1-((2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl)-1,3,5-triazin-2(1H)-one"
DCT303,DecitabineRelatedCompoundC,1140891-02-6,"(2R,3S,5S)-5-(4-amino-2-oxo-1,3,5-triazin-1(2H)-yl)-2-(((4- chlorobenzoyl)oxy)methyl)tetrahydrofuran-3-yl4-chlorobenzo Desloratadine"
DSL100,Desloratadine,100643-71-8,LoratadineUSPRCA;LoratadineEPImpurityD 298220-99-2 DesloratadineEPImpurityA DSL201 DesloratadineEPImpurityA;11-FluoroDihydrodesloratadine
DSL203,DesloratadineEPImpurityC,79794-75-5,"Loratadine ; Ethyl 4-(8-chloro-5,6-dihydro-11H- benzo[5,6]cyclohepta[1,2-b]pyridin-11-ylidene)-1- piperidinecarboxylate"
DSL401,DesloratadineN-AcetylImpurity,117796-52-8,DesloratadineN-AcetylImpurity;N-AcetylDesloratadine
DSL306,DesloratadineN-FormylImpurity,117810-61-4,DesloratadineUSPRCF;DesloratadineN-FormylImpurity Page23
DSL402,DesloratadineN-HydroxyImpurity,1193725-73-3,DesloratadineN-HydroxyImpurity;N-HydroxyDesloratadine
DSL403,DesloratadineN-MethylImpurity,38092-89-6,LoratadineEPImpurityG;LoratadineUSPRCB
DSL404,DesloratadinePyridineN-Oxide,169253-26-3,"4-(8-Chloro-5,6-dihydro-11H-benzo[5,6]cyclohepta[1,2-b]pyridin-11-ylidene)- piperidineN-oxide"
DSL405,DesloratadineNitrosoImpurity,1246819-22-6,"8-Chloro-11-(1-nitrosopiperidin-4-ylidene)-6,11-dihydro-5H-benzo[5,6]cyclohepta[1,2-b]pyridine Dextromethorphan"
DXT100,Dextromethorphan,125-71-3,"(9α,13α,14α)-3-Methoxy-17-methylmorphinan3-Methoxy-17 -methyl-9α,13α,14α-morphinan;(+)-3-Methoxy-17-methylmorphinan"
DXT401,DextromethorphanImpurityA,1531-25-5,"(+)-3-Methoxy morphinan; (4bR,8aR,9R)-3-Methoxy-6,7,8,8a,9,10-hexahydro-5H-9,4b- (epiminoethano)phenanthrene"
DXT402,DextromethorphanImpurityB,125-73-5,(+)-3-Hydroxy-N-methylmorphinan
DXT403,DextromethorphanN-OxideHydrochloride,1177419-85-0,"(9α,13α,14α)-3-Methoxy-17-methylmorphinan17-oxideHydrochloride Diazepam"
DZP100,Diazepam,439-14-5,"7-Chloro-1-methyl-5-phenyl-1,3-dihydro-2H-1,4-benzodiazepin-2-one"
DZP201,DiazepamEPImpurityA/ Nordazepam,1088-11-5,"7-Chloro-5-phenyl-1,3-dihydro-2H-1,4-benzodiazepin-2-one(nordazepam)"
DZP202,DiazepamEPImpurityB,6021-21-2,2-Chloro-N-(4-chloro-2-benzoylphenyl)-N-methylacetamide
DCZ401,Diclazuril - Impurity A/Diclazuril 6-Carboxylic Acid2-,862243-46-7,"[3,5-Dichloro-4-[(4-chlorophenyl)cyanomethyl]phenyl]-2,3,4,5- tetrahydro-3,5-dioxo-1,2,4-triazine-6-carboxylicAcid"
DCZ402,4-Dechloro-4-hydroxyDiclazuril(Impurity B),112206-71-0,"(+/-)-Benzeneacetonitrile, 4-Dechloro-4-hydroxyDiclazuril"
DCZ403,Diclazuril6-Carboxamide(Impurity C),1797132-12-7,Diclazuril6-Carboxamide
